plots_cells,plots_size,plots_size_L0,plots_size_L1,plots_size_L2,caseID,caseDir
5505024,2.310185854e9,1.498515979e9,5.3737142e7,1.6688021e8,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00200
262144,7.3006444e7,7.1357875e7,633563.0,1.004312e6,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00000
524288,1.4612962e8,1.4271578e8,1.267151e6,2.125347e6,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00010
786432,2.19252797e8,2.14073685e8,1.90074e6,3.246382e6,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00020
1048576,2.92375972e8,2.8543159e8,2.534329e6,4.367413e6,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00030
1310720,3.65499138e8,3.56789495e8,3.167917e6,5.488436e6,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00040
1572864,4.39257928e8,4.281474e8,3.801506e6,7.244788e6,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00050
1835008,5.14269996e8,4.99505305e8,4.922521e6,9.767092e6,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00060
2097152,5.90199663e8,5.7086321e8,6.043536e6,1.3206653e7,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00070
2359296,6.69009004e8,6.42221115e8,7.799832e6,1.8889944e7,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00080
2621440,7.49907145e8,7.1357902e8,1.0322077e7,2.5896223e7,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00090
2883584,8.32287098e8,7.84936925e8,1.2844321e7,3.4383743e7,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00100
3145728,9.17185654e8,8.5629483e8,1.6283802e7,4.4472756e7,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00110
3407872,1.003848496e9,9.27652735e8,1.9723267e7,5.6325043e7,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00120
